UF,CM,CITY,LAT,LON
PA,TNO-PA-BLM01-ABT06,ABAETETUBA,-1.7217787,-48.8788106
RN,TNE-RN-ACU01-ACU01,AÇU,-5.5836157,-36.9139541
RS,TSL-RS-SMA01-ALG06,ALEGRETE,-29.790166,-55.794862
PA,TNO-PA-SRM01-ATM03,ALTAMIRA,-3.204065,-52.209961
PA,TNO-PA-BLM01-ANA05,ANANINDEUA,-1.374035,-48.4016623
RJ,TRJ-RJ-ZNO01-ANG01,ANGRA DOS REIS,-23.1555405,-44.2344809
PR,TSL-PR-MGA01-APU01,APUCARANA,-23.5525327,-51.4610764
SE,TNE-SE-AJU01-AJU01,ARACAJU,-10.9162061,-37.0774655
SP,TSP-SP-PPE01-ARC02,ARAÇATUBA,-21.207992,-50.4390225
TO,TCO-TO-ARN01-ARN01,ARAGUAINA,-7.193241,-48.2018597
AL,TNE-AL-AIR01-AIR01,ARAPIRACA,-9.754866,-36.661471
SP,TSP-SP-RPO01-ARQ04,ARARAQUARA,-21.7886713,-48.1773096
MG,TLE-MG-ULA01-AXA04,ARAXA,-19.6009149,-46.940923
PE,TNE-PE-ACV01-ACV01,ARCOVERDE,-8.4208643,-37.0547808
SP,TSP-SP-PPE01-ASI03,ASSIS,-22.6620892,-50.420623
SP,TSP-SP-BRU01-AVR02,AVARE,-23.1045215,-48.9259103
MA,TNO-MA-SLS01-BAC03,BACABAL,-4.2318132,-44.781167
SC,TSL-SC-BNU01-BNC02,BALNEARIO CAMBURIU,-26.998885,-48.631747
MA,TNO-MA-SLS01-BLS04,BALSAS,-7.53214,-46.037163
MG,TLE-MG-JFA01-BCA02,BARBACENA,-21.2254524,-43.7735087
MT,TCO-MT-BAG01-BAG01,BARRA DO GARÇA,-15.8227452,-54.3979048
BA,TNE-BA-BES01-BES01,BARREIRAS,-12.1440031,-44.9967406
SP,TSP-SP-BRU01-BRU01,BAURU,-22.3218102,-49.0705863
SP,TSP-SP-SRR01-BDO02,BEBEDOURO,-20.949077,-48.479083
PA,TNO-PA-BLM01-BLM02,BELEM,-1.45056,-48.4682453
RJ,TRJ-RJ-BXD01-BXD01,BELFORD ROXO,-22.7667284,-43.4033603
MG,TLE-MG-BHE01-BHE01,BELO HORIZONTE,-19.9227318,-43.9450948
SC,TSL-SC-BNU01-BLU01,BLUMENAU,-26.9195567,-49.0658025
RR,TNO-RR-BVA01-BVA01,BOA VISTA-RR,2.8208478,-60.6719582
PI,TNE-PI-FLO01-BOM03,BOM JESUS,-9.0711644,-44.3583926
SP,TSP-SP-BRU01-BTU05,BOTUCATU,-22.8879628,-48.4410712
DF,TCO-DF-BSA01-BSA01,Brasilia,-15.7939869,-47.8828
RJ,TRJ-RJ-INT01-CBF01,CABO FRIO,-22.8804369,-42.0189227
