FME,HABILIDADE,CM
T3396333,FMMT,TLE-MG-GVS01-TOT03
T3723283,FMMT,TCO-MS-DOS01-DOS01
T3579709,FMMT,TLE-MG-BHE01-BHE01
T3443676,FMMT,TSP-SP-RPO01-FAC02
T3607152,FMMT,TCO-GO-RVD01-RVD01
T3435453,FMMT,TNE-PI-TSA01-TSA01
T3682658,FMMT,TNE-BA-PAF01-PAF01
T3675891,FMMT,TSL-RS-CXS01-KDK02
T3474750,FMMT,TNE-BA-PAF01-PAF01
T3375138,FMMT,TNE-CE-FLA01-FLA01
T3371339,FMMT,TRJ-RJ-ZNO01-ZOE02
T3696685,FMMT,TSP-SP-SPO01-QDR11
T3738538,FMMT,TSL-PR-CSC01-UMR05
T3431099,FMMT,TSP-SP-SPO01-QDR21
T3727764,FMMT,TSP-SP-SPO01-QDR11
T3522084,FMMT,TRJ-RJ-GRD01-ZSL01
T3719015,FMMT,TSP-SP-SPO01-QDR21
T3684128,FMMT,TSL-SC-BNU01-BNC02
T3702042,FMMT,TCO-GO-GNA01-GNA01
T3428811,FMMT,TRJ-RJ-BXD01-BXD01
T3494552,FMMT,TSP-SP-SPO01-QDR21
T3437837,FIBRA,TSP-SP-SPO01-QDR41
T3559252,FMMT,TNE-PE-RCE01-RCE01
T3430248,FMMT,TSL-RS-SMA01-PMM04
T3531637,FMMT,TLE-MG-GVS01-IPA02
T3692084,FMMT,TNE-CE-QXA01-QXA01
T3489214,FMMT,TNE-PB-JPA01-JPA01
T3732681,FMMT,TSP-SP-SPO01-QDR21
T3739628,FMMT,TRJ-RJ-INT01-CPS02
T3407081,FMMT,TNO-PA-BLM01-ANA05
T3429555,FMMT,TRJ-RJ-ZNO01-ZOE02
T3536761,FMMT,TNE-PE-PTA01-PTA01
T3447292,FMMT,TCO-RO-CWL01-CWL01
T3540087,FMMT,TRJ-RJ-GRD01-ZSL01
T3729443,FMMT,TSP-SP-SPO01-QDR21
T3677050,FMMT,TNO-MA-SLS01-SIS08
T3349112,FMMT,TRJ-RJ-INT01-CBF01
T3561447,FMO,TRJ-RJ-BXD01-BXD01
T3429533,FMMT,TRJ-RJ-GRD01-ZSL01
T3376421,FMO,TRJ-RJ-GRD01-ZSL01
T3448927,FMMT,TNO-PA-MBA01-TUU05
T3723506,FMMT,TNO-PA-BLM01-CPN05
T3571791,FMMT,TLE-MG-GVS01-TOT03
T3718662,FMMT,TLE-MG-MCL01-MCL01
T3736111,FMMT,TNO-PA-BLM01-ANA05
T3676725,FMMT,TLE-MG-BHE01-BHE01
T3741239,FMMT,TLE-MG-ULA01-PMS03
T3516727,FMMT,TNE-PI-TSA01-TSA01
T3695618,FMMT,TSL-SC-BNU01-BNC02
T3371305,FMMT,TRJ-RJ-GRD01-ZSL01
T3708784,FMMT,TSP-SP-SOC01-SOC01
T3350825,FMMT,TSP-SP-SOC01-SOC01
T3297167,FMMT,TRJ-RJ-ZNO01-ZOE02
T3479114,FMMT,TRJ-RJ-BXD01-NIT02
T3496555,FMO,TNO-PA-BLM01-BLM02
T3267498,FMMT,TLE-MG-JFA01-BCA02
T3267487,FMMT,TNE-BA-SDR01-SDR01
T3725330,FMMT,TLE-MG-URA01-URA01
T3619834,FMMT,TNO-AP-MPA01-MPA01
T3297158,FMMT,TRJ-RJ-ZNO01-ZOE02
T3429545,FMMT,TRJ-RJ-INT01-NFB03
T3522907,FMMT,TRJ-RJ-ZNO01-ZOE02
T3447605,FMMT,TNO-MA-SLS01-CSX06
T3677051,FMMT,TNO-MA-SLS01-SIS08
T3405786,FMMT,TSP-SP-SPO01-QDR21
T3297225,FMMT,TRJ-RJ-GRD01-ZSL01
T3361024,FMMT,TSP-SP-SPO01-QDR11
T3548894,FMMT,TRJ-RJ-GRD01-ZSL01
T3703904,FMMT,TNO-PA-BLM01-CPN05
T3280035,FMMT,TNE-RN-NTL01-NTL01
T3606599,FMMT,TNO-PA-MBA01-PUP02
T3142177,FMMT,TRJ-ES-EPS01-VIT03
T3678117,FMMT,TSP-SP-SPO01-QDR10
T3650292,FMMT,TSP-SP-SPO01-QDR11
T3662695,FMMT,TRJ-RJ-ZNO01-ZOE02
T3612466,FMMT,TCO-GO-GNA01-GNA01
T3161084,FMMT,TNE-BA-JUO01-JUO01
T3637449,FMMT,TSP-SP-SPO01-QDR41
T3448703,FMMT,TRJ-ES-EPS01-VIT03
T3526441,FMMT,TNE-CE-SOL01-SOL01
T3612468,FMMT,TCO-GO-GNA01-GNA01
T3722525,FMMT,TLE-MG-URA01-URA01
T3624781,FMMT,TSP-SP-SJC01-SJC01
T3424400,FMMT,TSP-SP-RPO01-RPO01
T3396357,FMMT,TNE-BA-SDR01-SDR01
T3503582,FMMT,TRJ-RJ-INT01-CPS02
T3372854,FMMT,TNE-BA-SNJ01-SNJ01
T3612812,FMO,TCO-MT-CBA01-CBA01
T3447629,FMMT,TNO-MA-SLS01-PIH07
T3162395,FMMT,TNE-RN-MRO01-MRO01
T3510919,FMMT,TNE-AL-MCO01-MCO01
T3376435,FMMT,TRJ-RJ-BXD01-NIT02
T3392152,FMMT,TNO-PA-MBA01-MBA02
T3713358,FMMT,TCO-MT-ROI01-ROI01
T3609073,FMMT,TRJ-RJ-GRD01-ZSL01
T3683151,FMMT,TNO-MA-ITZ01-ITZ02
T3573896,FMMT,
T3141656,FMMT,TSL-RS-CXS01-CSL01
T3493838,FMMT,TCO-GO-URC01-URC01
T3430750,FMMT,TRJ-RJ-ZNO01-ZOE02
T3604351,FMMT,TNE-CE-FLA01-FLA01
T3143006,FMMT,TLE-MG-BHE01-BHE01
