SITE,LAT,LON,CIDADE,CM,KM
ACMLI_0001,-7.613003,-72.904219,CENTRO,TCO-AC-RBO01-RBO01,671.027
ACMLI_0043,-7.612992,-72.904208,CENTRO,TCO-AC-RBO01-RBO01,671.028
ACPWTR0008,-8.263139,-72.742972,CENTRO,TCO-AC-RBO01-RBO01,99.999
ACCZU_0002,-7.605194,-72.683583,AEROPORTO VELHO,TCO-AC-RBO01-RBO01,639.508
ACCZU_0023,-7.625139,-72.669389,CENTRO,TCO-AC-RBO01-RBO01,637.155
ACCZU_0007,-7.630472,-72.669097,CENTRO,TCO-AC-RBO01-RBO01,636.304
ACRGAS0002,-7.734139,-72.649772,CENTRO,TCO-AC-RBO01-RBO01,626.232
AMGJAR0001,-7.544028,-72.577667,CENTRO,TNO-AM-MNS01-MNS01,2053.55
ACMLTO0001,-9.0595,-72.245583,ZONA RURAL,TCO-AC-RBO01-RBO01,99.999
ACJOAO0002,-9.190583,-71.95125,CENTRO,TCO-AC-RBO01-RBO01,99.999
AMIXN_0002,-7.049444,-71.691611,CENTRO,TNO-AM-MNS01-MNS01,99.999
ACTAU_0001,-8.160194,-70.767056,CENTRO,TCO-AC-RBO01-RBO01,409.543
ACSRSA0001,-9.440889,-70.488167,CENTRO,TCO-AC-RBO01-RBO01,99.999
ACFJO_0001,-8.167278,-70.356278,CENTRO,TCO-AC-RBO01-RBO01,363.298
AMATN_0001,-4.364444,-70.19525,CENTRO,TNO-AM-MNS01-MNS01,99.999
AMEVI_0001,-7.433361,-70.016722,CENTRO,TNO-AM-MNS01-MNS01,99.999
AMTBN_0001,-4.233306,-69.938611,DOM PEDRO I,TNO-AM-MNS01-MNS01,99.999
AMEIE_0002,-6.65665,-69.880581,CENTRO,TNO-AM-MNS01-MNS01,99.999
AMEIE_0001,-6.662222,-69.864167,CENTRO,TNO-AM-MNS01-MNS01,99.999
AMEIE_0003,-6.670528,-69.8605,CENTRO,TNO-AM-MNS01-MNS01,99.999
ACABL_0001,-10.925094,-69.554056,CENTRO,TCO-AC-RBO01-RBO01,342.131
ACMLU_0001,-8.837583,-69.257556,CENTRO,TCO-AC-RBO01-RBO01,228.838
AMSDO_0001,-3.472972,-68.950944,CENTRO,TNO-AM-MNS01-MNS01,99.999
ACBLI_0001,-11.0105,-68.744528,CENTRO,TCO-AC-RBO01-RBO01,232.218
ACXPI_0001,-10.653139,-68.502972,CENTRO,TCO-AC-RBO01-RBO01,188.981
AMIKT_0001,-6.436361,-68.244556,CENTRO,TNO-AM-MNS01-MNS01,99.999
AMATK_0001,-3.364972,-68.194972,CENTRO,TNO-AM-MNS01-MNS01,99.999
AMSIC_0001,-3.107111,-67.953222,CENTRO,TNO-AM-MNS01-MNS01,99.999
ACRBO_0495,-9.866831,-67.913761,LOTEAMENTO VILA MARIA,TCO-AC-RBO01-RBO01,18.548
ACRBO_0100,-9.870139,-67.912111,CENTRO,TCO-AC-RBO01-RBO01,18.14
ACRBO_0010,-9.945028,-67.880581,CENTRO,TCO-AC-RBO01-RBO01,9.739
ACRBO_0110,-9.941444,-67.874111,CENTRO,TCO-AC-RBO01-RBO01,9.019
ACRBO_0014,-9.976667,-67.868333,PORTAL DA AMAZONIA,TCO-AC-RBO01-RBO01,7.873
ACRBO_0067,-9.947417,-67.863778,CONJUNTO TUCUMA,TCO-AC-RBO01-RBO01,7.757
ACRBO_0069,-9.966167,-67.859972,PEDRO ROSENO,TCO-AC-RBO01-RBO01,7.322
ACRBO_0336,-9.952661,-67.858878,CONJUNTO TUCUMA,TCO-AC-RBO01-RBO01,7.132
ACRBO_0297,-9.976083,-67.8565,PORTAL DA AMAZONIA,TCO-AC-RBO01-RBO01,6.581
ACRBO_0289,-9.959556,-67.852389,JARDIM PRIMAVERA,TCO-AC-RBO01-RBO01,5.629
ACRBO_0698,-9.946,-67.851981,CENTRO,TCO-AC-RBO01-RBO01,6.635
ACRBO_0697,-9.967111,-67.849328,CENTRO,TCO-AC-RBO01-RBO01,6.806
ACRBO_0081,-9.97925,-67.849083,HORTO FLORESTAL,TCO-AC-RBO01-RBO01,5.961
ACRBO_0056,-9.985861,-67.848278,FLORESTA,TCO-AC-RBO01-RBO01,6.333
ACRBO_0076,-9.972389,-67.846444,CONJUNTO HABITAR BRASIL,TCO-AC-RBO01-RBO01,5.107
ACRBO_0082,-9.958944,-67.845778,CENTRO,TCO-AC-RBO01-RBO01,5.174
ACRBO_0012,-9.980556,-67.842361,MAURO BITAR,TCO-AC-RBO01-RBO01,5.245
ACRBO_0064,-9.9275,-67.838167,JORGE LAVOCAT,TCO-AC-RBO01-RBO01,6.278
ACRBO_0007,-9.958611,-67.837972,ESTACAO EXPERIMENTAL,TCO-AC-RBO01-RBO01,3.524
ACRBO_0089,-9.973806,-67.835278,CENTRO,TCO-AC-RBO01-RBO01,4.13
ACRBO_0059,-9.977583,-67.83525,FLORESTA,TCO-AC-RBO01-RBO01,4.107
ACRBO_0078,-9.966583,-67.833694,ESTACAO EXPERIMENTAL,TCO-AC-RBO01-RBO01,3.159
ACRBO_0058,-9.998111,-67.829611,BOA UNIAO,TCO-AC-RBO01-RBO01,6.116
ACRBO_0003,-9.937444,-67.82775,VILA IVONETE,TCO-AC-RBO01-RBO01,4.168
ACRBO_0085,-9.970306,-67.827667,CENTRO,TCO-AC-RBO01-RBO01,3.283
ACRBO_0009,-9.989556,-67.826389,BAHIA,TCO-AC-RBO01-RBO01,4.661
ACRBO_0109,-9.93805,-67.8261,CENTRO,TCO-AC-RBO01-RBO01,4.026
ACRBO_0072,-9.952028,-67.824972,JARDIM AMERICA,TCO-AC-RBO01-RBO01,2.828
ACRBO_0335,-9.961333,-67.824611,IZAURA PARENTE,TCO-AC-RBO01-RBO01,2.008
ACRBO_0086,-9.956667,-67.82075,CENTRO,TCO-AC-RBO01-RBO01,1.604
ACRBO_0062,-9.935917,-67.820278,WANDERLEY DANTAS,TCO-AC-RBO01-RBO01,4.031
ACRBO_0037,-9.970861,-67.816389,FLORESTA,TCO-AC-RBO01-RBO01,1.642
ACRBO_0075,-9.983972,-67.8155,CENTRO,TCO-AC-RBO01-RBO01,3.72
ACRBO_0332,-9.968806,-67.814417,CENTRO,TCO-AC-RBO01-RBO01,1.427
ACRBO_0097,-9.938306,-67.813528,CENTRO,TCO-AC-RBO01-RBO01,3.558
